mission,en,de,fr,jp
1,Multi-purpose Fiberboard,Faserplatten,Planches en bois aggloméré multi-usage,汎用繊維板の製作
2,Fieldwork Fuel,Brennstoff für Außeneinsätze,Combustible pour l'exploration,拠点外活動用の燃料調達
3,Gathering Miscellany,Sammler-Accessoires,Accessoires de récolte,採集用アクセサリの製作
4,Essential Research Materials,Forschungsmaterialien,Matériaux pour la recherche,研究用必須素材の調達
5,Charcoal Longevity Testing,Holzkohlenvorrat-Inspektion,Traitement longue durée pour charbon de bois,木炭の長持続化検証
6,General-purpose Bedding,Schlafzeug,Literie classique,汎用寝具の製作
7,Thin Fiberboard,Dünne Faserplatten,Fines planches en bois aggloméré,薄型繊維板の製作
8,Carpentry Provisions,Zimmerer-Hilfsmaterialien,Matériel de menuiserie,木工師用支援物資の製作
9,Worker's Weaving Tools,Arbeiter-Nähwerkzeuge,Nécessaires de couture,作業員用裁縫道具の調達
10,Data Entry Paper,Papier zur Dateneintragung,Papier pour l'enregistrement de données,データ記入用紙の製作
11,Interior Insulation Materials,Wärmeisolation-Materialien,Isolation thermique intérieure,断熱内装材の製作
12,Cosmoliner Supplies,Kosmozapper-Grundkomponenten,Matériaux pour cosmo-navette,コスモライナー用の基本資材調達
13,New Material Earrings,Prototyp-Ohrringe,Boucles d'oreilles en matière nouvelle,新素材を用いたイヤリング製作
14,Resupplying Containers,Versorgungsbehälter,Conteneurs de transport,補給用容器の製作
15,Thick Fiberboard,Dicke Faserplatten,Épaisses planches en bois aggloméré,厚型繊維板の製作
16,High-quality Insulation Materials,Hochwertige Isoliermaterialien,Isolation thermique d'excellente qualité,高品質断熱材の製作
17,Heat-resistant Resin,Hitzebeständiges Baumharz,Résine thermorésistante,耐熱性樹脂の製作
18,Long-term Storage Paper,Papier zur Langzeitlagerung,Papier longue conservation,長期保存用紙の製作
19,Habitation Module Chairs,Habitationsmodul-Stühle,Mobilier d'intérieur,居住区用椅子の製作
20,Test Material Gathering Tools,Experimentelle Sammler-Werkzeuge,Outils de récolte expérimentaux,試験素材を用いた採集道具製作
21,High-quality Rest Beds,Hochwertige Betten,Literie d'excellente qualité,休憩用高品質ベッドの製作
22,A-1: High-durability Fiberboard,A-1: Hochbelastbare Faserplatten,A-1 : Planches en bois aggloméré résistantes,A-1：高耐久繊維板の製作
23,A-1: High-grade Paper,A-1: Premium-Papier,A-1 : Papier de qualité supérieure,A-1：最高級紙の製作
24,A-1: Starship Insulation,A-1: Raumschiff-Isoliermaterialien,A-1 : Isolation thermique pour vaisseau spatial,A-1：宇宙船用の断熱材調達
25,A-1: High Burn Charcoal,A-1: Hochleistungs-Holzkohle,A-1 : Charbon pour haute température,A-1：高火力木炭の製作
26,A-1: Lunar Flora Test Processing,A-1: Mondpflanzen-Inspektion,A-1 : Traitement expérimental de végétaux lunaires,A-1：月面植物の加工検証
27,A-2: Test Material Final Processing,A-2: Final-Inspektion für Experimentalmaterialien,A-2 : Traitement final de matériaux d'essai,A-2：試験用素材の最終加工検証
28,A-2: Serving Trays,A-2: Serviertabletts,A-2 : Plateaux de service,A-2：配膳用トレイの製作
29,A-2: Bunk Beds,A-2: Etagenbetten,A-2 : Lits superposés,A-2：二段ベッドの製作
30,A-2: Work Support Equipment,A-2: Arbeitsunterstützungsvorrichtungen,A-2 : Infrastructures d'assistance,A-2：作業補助設備の製作
31,A-3: High-quality Crafting Tools,A-3: Hochwertige Ersatz-Werkzeuge,A-3 : Approvisionnement en outils d'artisanat,A-3：高品質製作道具の補充
32,A-3: Elevating Platforms,A-3: Höhenverstellbare Podeste,A-3 : Structures de travail en hauteur,A-3：高所用昇降台の製作
33,A-1: Power Transmission Shafts I,A-1: Kraftübertragungs-Pfosten I,A-1 : Préparation de cardan de transmission,A-1：動力伝達用シャフトの製作
34,A-2: Power Transmission Shafts II,A-2: Kraftübertragungs-Pfosten II,A-2 : Amélioration de cardan de transmission,A-2：続・動力伝達用シャフトの製作
35,A-1: Specialized Materials I,A-1: Verfeinerungsmaterialien I,A-1 : Préparation de matériaux de perfectionnement,A-1：性質特化素材の調達
36,A-2: Specialized Materials II,A-2: Verfeinerungsmaterialien II,A-2 : Amélioration de matériaux de perfectionnement,A-2：続・性質特化素材の調達
37,A-3: Research Water Tank,A-3: Großer Forschungs-Wasserspeicher,A-3 : Grand bassin pour la recherche,A-3：研究用大型水槽の製作
38,A-2: Rest Facility Materials,A-2: Pausenraummaterialien,A-2 : Matériaux pour articles de relaxation,A-2：休憩施設用素材の製作
39,A-3: Rest Facility Furnishings,A-3: Pausenraum-Einrichtungsgegenstände,A-3 : Mobilier de relaxation,A-3：休憩施設用調度品の製作
40,A-1: Packing Materials I,A-1: Verpackungsmaterialien I,A-1 : Préparation de matériaux pour conteneurs,A-1：貨物梱包素材の製作
41,A-2: Packing Materials II,A-2: Verpackungsmaterialien II,A-2 : Amélioration de matériaux pour conteneurs,A-2：続・貨物梱包素材の製作
42,A-3: Rover Packing Materials,A-3: Verpackungsmaterialien (Vehikel),A-3 : Conteneurs de fret pour rovers,A-3：ローバー用貨物梱包材の製作
43,A-3: Biofuel I,A-3: Biotreibstoff I,A-3 : Préparation de combustible biologique,A-3：バイオ燃料の製作
44,A-3: Biofuel II,A-3: Biotreibstoff II,A-3 : Amélioration de combustible biologique,A-3：続・バイオ燃料の製作
45,A-3: Biofuel III,A-3: Biotreibstoff III,A-3 : Perfectionnement de combustible biologique,A-3：バイオ燃料の製作・最終工程
46,Multi-purpose Plating,Projektplatten,Plaques multi-usage,汎用装甲板の製作
47,Spare Starship Parts,Ersatzteile (Raumschiff),Pièces de rechange pour vaisseau,宇宙船用の予備部品製作
48,Alloy Inspection,Legierungsinspektion,Étude de fabrication d'alliages,合金製作の検証
49,Custom Parts (Simple),Anpassungskomponenten (Qualitätsklasse I),Pièces adaptables simples,初級カスタマイズ部品の製作
50,Multi-purpose Metal Components,Metallteile,Pièces métalliques multi-usage,汎用金属部品の製作
51,Mass-produced Necessities,Massenproduktion für Bedarfsartikel,Grosse production d'articles de première nécessité,必需品の大量生産
52,Standardized Heavy Plating,Dicke Projektplatten,Plaques épaisses standard,規格厚型装甲板の製作
53,Starship Shafts,Triebachse (Raumschiff),Axes de transmission pour vaisseau spatial,宇宙船用の動力伝導軸
54,Worker's Mining Tools,Arbeiter-Brechwerkzeuge,Outils d'excavation,作業員用砕岩道具の調達
55,Standardized Alloy Rivets,Standard-Legierungsnieten,Rivets en alliage standard,規格合金リベットの製作
56,Worker's Carpentry Tools,Arbeiter-Zimmererwerkzeuge,Outils de menuiserie,作業員用木工道具の調達
57,Custom Parts (Intermediate),Anpassungskomponenten (Qualitätsklasse II),Pièces adaptables intermédiaires,中級カスタマイズ部品の製作
58,Insulated Equipment,Isolierungsvorrichtungen,Équipements isolants,断熱設備の製作
59,Rover Shafts,Übertragungsachse (Vehikel),Axes de transmission pour rover,ローバー用の伝導軸製作
60,Standardized Light Plating,Dünne Projektplatten,Plaques fines standard,規格薄型装甲板の製作
61,Worker's Smithing Tools,Arbeiter-Metallurgenwerkzeuge,Outils de métallurgie,作業員用冶金道具の調達
62,Bathing Fixtures,Badezimmer-Einrichtung,Mobilier de bain,入浴用調度品の製作
63,Ceruleum Stoves,Beweglicher Erdseim-Herd,Poêles alimentés par céruleum,青燐式移動ストーブの製作
64,Habitation Lighting,Habitationsmodul-Beleuchtungen,Éclairages pour habitation,居住区用照明の製作
65,Lunar Material Tool Processing,Veredlung von Mondwerkzeugen,Élaboration d'outils en matériaux séléniens,月面産素材の道具加工依頼
66,Lunar Material Part Processing,Veredlung von Mondgüterbauteilen,Élaboration de pièces en matériaux séléniens,月面産素材の部品加工依頼
67,A-1: Key Facility Plating,A-1: Stationsstruktur-Projektplatten,A-1 : Plaques pour infrastructure cruciale,A-1：重要施設用装甲板の製作
68,A-1: Rare Material Processing,A-1: Seltene Materialien,A-1 : Traitement de ressources rares,A-1：希少素材の加工
69,A-1: Construction Necessities,A-1: Einrichtungsbau-Bedarfsartikel,A-1 : Approvisionnement en pièces pour infrastructure,A-1：設備工事の必需品補充
70,A-1: Worker's Sheet Metal Tools,A-1: Arbeiter-Blechwerkzeuge,A-1 : Outils en métal,A-1：作業員用板金道具の調達依頼
